Shadow32 Result
caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
acaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aacaaaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaacaaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaacaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaacaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaacaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaacaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaacaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaacaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaacaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaacaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaacaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaacaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaacaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaacaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaacaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaacaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaacaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaacaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaacaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaacaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaacaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaaacaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaaaacaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaaaaacaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaaaaaacaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaaaaaaacaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaaaaaaaacaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaaaaaaaaacaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaca uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaac uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
